Infecting,Infected,Infection Time,Simulation Time,Infection Rate
430,5,1,0.019549793514567232,1.5
430,56,1,0.019549793514567232,1.5
430,69,1,0.019549793514567232,1.5
430,109,1,0.019549793514567232,1.5
430,120,1,0.019549793514567232,1.5
430,181,1,0.019549793514567232,1.5
430,241,1,0.019549793514567232,1.5
430,245,1,0.019549793514567232,1.5
430,279,1,0.019549793514567232,1.5
430,320,1,0.019549793514567232,1.5
430,685,1,0.019549793514567232,1.5
430,686,1,0.019549793514567232,1.5
430,690,1,0.019549793514567232,1.5
430,745,1,0.019549793514567232,1.5
430,750,1,0.019549793514567232,1.5
430,759,1,0.019549793514567232,1.5
430,824,1,0.019549793514567232,1.5
430,929,1,0.019549793514567232,1.5
686,70,1,0.054699089491106564,1.5
686,238,1,0.054699089491106564,1.5
686,245,2,0.054699089491106564,1.5
686,314,1,0.054699089491106564,1.5
686,396,1,0.054699089491106564,1.5
686,511,1,0.054699089491106564,1.5
686,546,1,0.054699089491106564,1.5
686,826,1,0.054699089491106564,1.5
686,853,1,0.054699089491106564,1.5
686,967,1,0.054699089491106564,1.5
882,32,1,0.07852112401470154,1.0
882,134,1,0.07852112401470154,1.0
882,172,1,0.07852112401470154,1.0
882,185,1,0.07852112401470154,1.0
882,229,1,0.07852112401470154,1.0
882,299,1,0.07852112401470154,1.0
882,317,1,0.07852112401470154,1.0
882,325,1,0.07852112401470154,1.0
882,326,1,0.07852112401470154,1.0
882,376,1,0.07852112401470154,1.0
882,414,1,0.07852112401470154,1.0
882,423,1,0.07852112401470154,1.0
882,433,1,0.07852112401470154,1.0
882,472,1,0.07852112401470154,1.0
882,534,1,0.07852112401470154,1.0
882,555,1,0.07852112401470154,1.0
882,573,1,0.07852112401470154,1.0
882,597,1,0.07852112401470154,1.0
882,600,1,0.07852112401470154,1.0
882,612,1,0.07852112401470154,1.0
882,616,1,0.07852112401470154,1.0
882,641,1,0.07852112401470154,1.0
882,647,1,0.07852112401470154,1.0
882,661,1,0.07852112401470154,1.0
882,802,1,0.07852112401470154,1.0
882,885,1,0.07852112401470154,1.0
134,26,1,0.08800436660182485,1.0
134,183,1,0.08800436660182485,1.0
134,226,1,0.08800436660182485,1.0
134,274,1,0.08800436660182485,1.0
134,293,1,0.08800436660182485,1.0
134,411,1,0.08800436660182485,1.0
134,432,1,0.08800436660182485,1.0
134,565,1,0.08800436660182485,1.0
134,660,1,0.08800436660182485,1.0
134,679,1,0.08800436660182485,1.0
134,852,1,0.08800436660182485,1.0
414,385,1,0.095647285072482,1.0
414,399,1,0.095647285072482,1.0
414,456,1,0.095647285072482,1.0
825,65,1,0.09587948588527463,1.0
825,170,1,0.09587948588527463,1.0
825,225,1,0.09587948588527463,1.0
825,367,1,0.09587948588527463,1.0
825,506,1,0.09587948588527463,1.0
825,593,1,0.09587948588527463,1.0
825,627,1,0.09587948588527463,1.0
825,724,1,0.09587948588527463,1.0
825,752,1,0.09587948588527463,1.0
825,796,1,0.09587948588527463,1.0
825,834,1,0.09587948588527463,1.0
825,839,1,0.09587948588527463,1.0
825,904,1,0.09587948588527463,1.0
825,951,1,0.09587948588527463,1.0
69,45,1,0.09663196482561025,1.5
69,73,1,0.09663196482561025,1.5
69,215,1,0.09663196482561025,1.5
69,435,1,0.09663196482561025,1.5
69,626,1,0.09663196482561025,1.5
396,1,1,0.09727989310707885,1.5
396,64,1,0.09727989310707885,1.5
396,102,1,0.09727989310707885,1.5
396,164,1,0.09727989310707885,1.5
396,276,1,0.09727989310707885,1.5
396,453,1,0.09727989310707885,1.5
396,521,1,0.09727989310707885,1.5
396,595,1,0.09727989310707885,1.5
396,898,1,0.09727989310707885,1.5
396,979,1,0.09727989310707885,1.5
947,1,2,0.10496798473847971,1.5
947,83,1,0.10496798473847971,1.0
947,131,1,0.10496798473847971,1.0
947,137,1,0.10496798473847971,1.0
947,151,1,0.10496798473847971,1.0
947,380,1,0.10496798473847971,1.0
947,417,1,0.10496798473847971,1.0
947,445,1,0.10496798473847971,1.0
947,460,1,0.10496798473847971,1.0
947,579,1,0.10496798473847971,1.0
947,721,1,0.10496798473847971,1.0
947,754,1,0.10496798473847971,1.0
947,778,1,0.10496798473847971,1.0
947,868,1,0.10496798473847971,1.0
947,931,1,0.10496798473847971,1.0
432,29,1,0.12140995466595235,1.0
432,85,1,0.12140995466595235,1.0
432,134,2,0.12140995466595235,1.0
432,259,1,0.12140995466595235,1.0
432,316,1,0.12140995466595235,1.0
432,662,1,0.12140995466595235,1.0
432,671,1,0.12140995466595235,1.0
432,673,1,0.12140995466595235,1.0
432,927,1,0.12140995466595235,1.0
432,953,1,0.12140995466595235,1.0
314,753,1,0.12607350875106074,1.5
396,164,2,0.13533917088348654,1.5
573,203,1,0.13674479771490075,1.0
573,317,2,0.13674479771490075,1.0
573,600,2,0.13674479771490075,1.0
750,501,1,0.14321930425534654,1.5
750,546,2,0.14321930425534654,1.5
750,821,1,0.14321930425534654,1.5
724,30,1,0.15421425065143352,1.0
724,56,2,0.15421425065143352,1.5
724,84,1,0.15421425065143352,1.0
724,123,1,0.15421425065143352,1.0
724,133,1,0.15421425065143352,1.0
724,135,1,0.15421425065143352,1.0
724,784,1,0.15421425065143352,1.0
724,929,2,0.15421425065143352,1.0
430,69,2,0.1604101893482756,1.5
430,745,2,0.1604101893482756,1.5
683,11,1,0.16894461451910894,1.0
683,152,1,0.16894461451910894,1.0
683,234,1,0.16894461451910894,1.0
683,289,1,0.16894461451910894,1.0
683,342,1,0.16894461451910894,1.0
683,554,1,0.16894461451910894,1.0
683,598,1,0.16894461451910894,1.0
683,703,1,0.16894461451910894,1.0
683,912,1,0.16894461451910894,1.0
683,948,1,0.16894461451910894,1.0
703,705,1,0.17109954803728883,1.0
132,9,1,0.17187562705995216,1.0
132,39,1,0.17187562705995216,1.0
132,100,1,0.17187562705995216,1.0
132,160,1,0.17187562705995216,1.0
132,161,1,0.17187562705995216,1.0
132,178,1,0.17187562705995216,1.0
132,212,1,0.17187562705995216,1.0
132,358,1,0.17187562705995216,1.0
132,373,1,0.17187562705995216,1.0
132,377,1,0.17187562705995216,1.0
