x,y,Infection label,Rate of movement,Rate of infection,Mutation,Susceptibility
0.7192371745496806,3.4967215759801977,1.0,0.08,1.0,1.0,1.0
1.2963612466310486,4.404450174450684,0.0,0.1,0.0,0.0,1.0
3.7030268741524592,3.168757811402543,0.0,0.1,0.0,0.0,1.0
3.1098522076790105,1.0139075952592091,1.0,0.08,1.5,2.0,1.0
2.3769897987611124,0.09464594280657068,0.0,0.1,0.0,0.0,1.0
5.832160895921788,3.7270691869747132,0.0,0.1,0.0,0.0,1.0
2.431521751128999,5.55755885703363,0.0,0.1,0.0,0.0,1.0
0.8994305535429699,2.591767374899412,1.0,0.08,1.5,2.0,1.0
3.951205439341426,3.469973564813724,0.0,0.1,0.0,0.0,1.0
2.5431638751604595,5.768620910025143,0.0,0.1,0.0,0.0,1.0
5.104528476369353,0.5278378913146884,0.0,0.1,0.0,0.0,1.0
4.1963291240550635,5.838415510151705,0.0,0.1,0.0,0.0,1.0
5.910723372883764,0.9540244351619014,0.0,0.1,0.0,0.0,1.0
1.8696300506750883,2.1804357442755404,1.0,0.08,1.5,2.0,1.0
2.409865123267734,0.1866622774730926,0.0,0.1,0.0,0.0,1.0
0.8877533364196191,2.06062849243107,0.0,0.1,0.0,0.0,1.0
3.7044113613121805,0.3673018102323309,0.0,0.1,0.0,0.0,1.0
4.029603991018859,2.4683062367967077,0.0,0.1,0.0,0.0,1.0
4.4582687268666135,2.68239461893668,0.0,0.1,0.0,0.0,1.0
1.3165567744461013,2.922042519397926,1.0,0.08,1.5,2.0,1.0
3.9540526763832355,1.5378226561510897,1.0,0.08,1.5,2.0,1.0
2.1027459239204274,2.5011697276771505,1.0,0.08,1.5,2.0,1.0
4.654690962321498,0.9710626189335088,0.0,0.1,0.0,0.0,1.0
5.027931864144946,4.2360651090801005,0.0,0.1,0.0,0.0,1.0
1.702985140420063,5.600647464148002,0.0,0.1,0.0,0.0,1.0
5.896819566470744,2.58958030502085,1.0,0.08,1.0,1.0,1.0
0.23525895183288603,5.808365143165258,0.0,0.1,0.0,0.0,1.0
5.854980017813159,4.634602422810669,0.0,0.1,0.0,0.0,1.0
4.913550109226062,5.195419618106811,1.0,0.08,1.0,1.0,1.0
0.7470882938577414,5.020687637675093,0.0,0.1,0.0,0.0,1.0
1.1837109368886043,4.044309734177573,0.0,0.1,0.0,0.0,1.0
4.666502573355314,3.6880505161155375,0.0,0.1,0.0,0.0,1.0
3.1854846155984484,1.0941339784866897,1.0,0.08,1.0,1.0,0.0
2.390859552071929,0.926478407617414,1.0,0.08,1.5,2.0,1.0
1.6148874625817045,4.339140950233984,0.0,0.1,0.0,0.0,1.0
1.2303312806644777,0.6874667009678459,0.0,0.1,0.0,0.0,1.0
3.8373001322945086,5.223388026203411,1.0,0.08,1.0,1.0,1.0
1.2548501164926056,5.939322849515687,0.0,0.1,0.0,0.0,1.0
0.23402980071723212,2.7083184069184636,1.0,0.08,1.0,1.0,1.0
3.8534796924522174,2.73487120184637,0.0,0.1,0.0,0.0,1.0
0.7894967307016802,1.1670563370482332,0.0,0.1,0.0,0.0,1.0
2.8320231242000307,1.216379927191384,1.0,0.08,1.5,2.0,1.0
2.008320743554293,4.224831847440692,0.0,0.1,0.0,0.0,1.0
4.182773482722638,3.781628721839298,0.0,0.1,0.0,0.0,1.0
2.8942545677780327,1.4348595789824108,1.0,0.08,1.5,2.0,1.0
2.5628828187350816,4.544054853278875,0.0,0.1,0.0,0.0,1.0
1.8304768145095494,0.6696499276260743,0.0,0.1,0.0,0.0,1.0
1.7848401279395858,1.1642873002881555,1.0,0.08,1.5,2.0,1.0
0.03924936330399276,0.694960518625467,0.0,0.1,0.0,0.0,1.0
5.241781516641048,4.013895656790978,0.0,0.1,0.0,0.0,1.0
1.3778289574574767,4.336062278331546,0.0,0.1,0.0,0.0,1.0
3.463122209539627,4.742844599035266,0.0,0.1,0.0,0.0,1.0
3.668198897568373,4.1789861417356615,0.0,0.1,0.0,0.0,1.0
3.4053725337662453,3.0316672220142333,1.0,0.08,1.5,2.0,1.0
4.178095446770906,1.049645442664477,1.0,0.08,1.5,2.0,1.0
2.8090642804131902,2.0721948598860798,1.0,0.08,1.5,2.0,1.0
5.108194514815864,5.2417435346576395,1.0,0.08,1.0,1.0,1.0
5.188707774404296,1.5239073219536081,0.0,0.1,0.0,0.0,1.0
2.142135478219797,5.9836589235134605,0.0,0.1,0.0,0.0,1.0
3.2275671777177593,2.004655779298642,2.0,0.08,1.5,2.0,0.0
0.6463554485738685,2.9254747049912573,1.0,0.08,1.0,1.0,1.0
2.182220288535583,4.920326914228283,0.0,0.1,0.0,0.0,1.0
2.8617164381500135,5.300345467029768,0.0,0.1,0.0,0.0,1.0
4.950555411442161,2.7299637777164927,1.0,0.08,1.0,1.0,1.0
3.980705222637636,0.8397462851393094,1.0,0.08,1.5,2.0,1.0
3.9647972812258274,3.826035684346215,0.0,0.1,0.0,0.0,1.0
3.1919129875608396,5.731734570976574,0.0,0.1,0.0,0.0,1.0
3.8306182292551103,4.312392759247333,0.0,0.1,0.0,0.0,1.0
4.7225615773336935,3.632297139012391,0.0,0.1,0.0,0.0,1.0
3.3553228580530403,5.426455681712827,0.0,0.1,0.0,0.0,1.0
